iter	Passed	Remaining
946	13168	737
947	13182	723
948	13196	709
949	13209	695
950	13223	681
951	13237	667
952	13250	653
953	13265	639
954	13278	625
955	13292	611
956	13306	597
957	13321	584
958	13334	570
959	13347	556
960	13363	542
961	13378	528
962	13392	514
963	13405	500
964	13420	486
965	13435	472
966	13448	458
967	13460	444
968	13473	431
969	13486	417
970	13500	403
971	13513	389
972	13527	375
973	13540	361
974	13553	347
975	13567	333
976	13581	319
977	13594	305
978	13607	291
979	13621	277
980	13635	264
981	13647	250
982	13660	236
983	13673	222
984	13686	208
985	13700	194
986	13714	180
987	13727	166
988	13740	152
989	13752	138
990	13766	125
991	13779	111
992	13792	97
993	13806	83
994	13821	69
995	13836	55
996	13851	41
997	13865	27
998	13879	13
999	13893	0
